"","name","iata_code","icao_code"
"164","ASL Airlines Belgium","3V","TAY"
"165","Atlas Air","5Y","GTI"
"166","Aurigny Air Services","GR","AUR"
"167","Avia Traffic Company","YK","AVJ"
"168","Azul","AD","AZU"
"169","Bamboo Airways","QH","BAV"
"170","Batik Air","ID","BTK"
"171","Ceiba Intercontinental","C2","CEL"
"172","Air Century","Y2","CEY"
"173","Chair","GM*","GSW"
"174","Air Chathams","3C","CVA"
"175","Cityjet","WX","BCY"
"176","Cyprus Airways","CY","CYP"
"177","Dana Airlines","9J","DAN"
"178","Danish Air Transport","DX*","DTR"
"179","Druk Air Corporation","KB","DRK"
"180","Egyptair","MS","MSR"
"181","Empire Airlines","EM","CFS"
"182","Endeavor Air","9E","EDV"
"183","Frontier Airlines","F9","FFT"
"184","Helvetic","2L","OAW"
"185","Izhavia","I8","IZA"
"186","Jambojet","JM","JMA"
"187","Japan Airlines","JL","JAL"
"188","Jet2.com","LS","EXS"
"189","Jetstar Asia Airways","3K*","JSA"
"190","LASER Airlines","QL*","LER"
"191","Air Madagascar","MD","MDG"
"192","Myanmar Airways International","8M","MMA"
"193","Nauru Airlines","ON","RON"
"194","Nesma Airlines","NE","NMA"
"195","Nok Air","DD","NOK"
"196","Nolinor Aviation","N5","NRL"
"197","Nordavia","5N","AUL"
"198","Air North","4N","ANT"
"199","Pacific Coastal Airlines","8P","PCO"
"200","Passaredo Transportes Aereos","2Z","PTB"
"201","Air Peace","P4","APK"
"202","Piedmont Airlines","PT","PDT"
"203","Plus Ultra","PU","PUE"
"204","Precision Air Services","PW","PRF"
"205","Premium Jet","0J","PJZ"
"206","Qazaq Air","IQ","QAZ"
"207","Qeshm Air","QB","QSM"
"208","SATENA","9R*","NSE"
"209","Sky Angkor Airlines","ZA","SWM"
"210","Thai Smile","WE*","THD"
"211","Air Transport International","8C","ATN"
"212","Winair","WM","WIA"
"213","WINDROSE Airlines","7W","WRC"
"214","TAAG - Linhas Aereas De Angola Airlines","DT","DTA"
"215","Xiamen Airlines","MF","CXA"
"216","United Airlines","UA","UAL"
"217","Lufthansa CityLine","CL","CLH"
"218","Iran Air","IR","IRA"
"219","All Nippon Airways","NH","ANA"
"220","Air Europa","UX","AEA"
"221","Flyegypt","FT","FEG"
"222","Aer Lingus","EI","EIN"
"223","Aerovias DAP","V5","DAP"
"224","Africa World Airlines Limited","AW*","AFW"
"225","AirBaltic","BT","BTI"
"226","Airblue","PA","ABQ"
"227","AirBridge Cargo","RU","ABW"
"228","Alitalia Cityliner","CT","CYL"
"229","Allegiant Air","G4","AAY"
"230","Angara Airlines","2G","AGU"
"231","Animawings","A2","AWG"
"232","Asiana Airlines","OZ","AAR"
"233","Aviacon Zitotrans","ZR*","AZS"
"234","Avianca","AV","AVA"
"235","Avior Airlines","9V","ROI"
"236","Azman Air","ZQ","AZM"
"237","Aztec Airways","AJ","AZY"
"238","Bahamasair","UP","BHS"
"239","Bismillah Airlines","BH","BML"
"240","Blue Air","0B*","BLA"
"241","Blue Islands","SI","BCI"
"242","Boliviana De Aviacion","OB","BOV"
"243","British Airways","BA","BAW"
"244","Bul Air","LB","BVL"
"245","Cabo Verde Airlines","VR","TCV"
"246","Calm Air International","MO","CAV"
"247","Caribbean Airlines","BW","BWA"
"248","Central Mountain Air","9M","GLR"
"249","Cham Wings Airlines","6Q","SAW"
"250","Air China","CA","CCA"
"251","China Eastern Airlines","MU","CES"
"252","China West Air","PN","CHB"
"253","Air Choice One","3E","ACO"
"254","Conviasa","V0","VCV"
"255","Corendon Airlines","XC","CAI"
"256","Eagle Air","H7","EGU"
"257","Eastern Airways","T3*","EZE"
"258","Estafeta Carga Aerea","E7*","ESF"
"259","EVA Airways","BR","EVA"
"260","Five Fourty Aviation","5H*","FFV"
"261","Fly Baghdad","IF","FBA"
"262","Helijet International","JB","JBA"
"263","Ibom Airlines","QI","IAN"
"264","Air Iceland Connect","NY","FXI"
"265","Air India","AI","AIC"
"266","Jetstar Airways","JQ","JST"
"267","Jetstar Japan","GK","JJP"
"268","Jordan Aviation","R5","JAV"
"269","Kenmore Air","M5*","KEN"
"270","Lanmei Airlines","LQ","MKR"
"271","LATAM Airlines Chile","LU","LXP"
"272","Air Leap","FL","LPA"
"273","Loganair","LM","LOG"
"274","Lufthansa Cargo","LH","GEC"
"275","Maya Island Air","2M","MYD"
"276","Air Mediterranean","MV","MAR"
"277","National Airways","9Y","NAE"
"278","Nepal Airlines","RA","RNA"
"279","Onur Air","8Q","OHY"
"280","Philippine Airlines","PR","PAL"
"281","PNG Air","CG*","TOK"
"282","Polar Air Cargo","PO","PAC"
"283","Qatar Airways","QR","QTR"
"284","Rossiya Airlines","FV","SDM"
"285","RusLine / Air Volga","7R","RLU"
"286","Samoa Airways","OL","PAO"
"287","Air Senegal","HC","SZN"
"288","SkyUp Airlines","PQ","SQP"
"289","Skyward Express","OW","SEW"
"290","SkyWest Airlines","OO","SKW"
"291","South African Airways","SA","SAA"
"292","Air Sunshine","YI","RSI"
"293","Thai Airways International","TG","THA"
"294","Thai Lion","SL","TLM"
"295","Transavia","HV","TRA"
"296","Ultimate Air Shuttle","UE","UJC"
"297","Utair Aviation","UT","UTA"
"298","Vietnam Airlines","VN","HVN"
"299","Virgin Atlantic Airways","VS","VIR"
"300","Voluxis",NA,"VXS"
"301","Westjet","WS","WJA"
"302","Yanair","YE","ANR"
"303","SriLankan Airlines","UL","ALK"
"304","PAL Express","2P","GAP"
"305","SilkAir","MI","SLK"
"306","Garuda","GA","GIA"
"307","Aegean Airlines","A3","AEE"
"308","Aero","N2","NIG"
"309","Aeromexico","AM","AMX"
"310","Aeromexico Connect","5D","SLI"
"311","Afriqiyah Airways","8U","AAW"
"312","Alba Star.es","AP","LAV"
"313","Amerijet International","M6","AJT"
"314","Antonov Design Bureau / Antonov Airlines",NA,"ADB"
"315","Ariana Afghan Airlines","FG","AFG"
"316","Arik Air","W3","ARA"
"317","Arkia Israeli Airlines","IZ","AIZ"
"318","Air Astana","KC","KZR"
"319","Atlantic Airways","RC","FLI"
"320","Avianca Costa Rica","LR","LRC"
"321","Avianca Ecuador","2K","GLG"
"322","Badr Airlines","J4","BDR"
"323","Bangkok Airways","PG","BKP"
"324","Bearskin Airlines","JV","BLS"
"325","Beijing Capital Airlines","JD","CBJ"
"326","BH Air","8H","BGH"
"327","Blue Panorama Airlines","BV","BPA"
"328","Bluebird NORDIC","BO","BBD"
"329","Cape Air","9K","KAP"
"330","Air Caraibes","TX","FWI"
"331","Cargolux Italia","C8","ICV"
"332","Cathay Pacific Airways","CX","CPA"
"333","Champlain Enterprises","C5","UCA"
"334","China Express Airlines","G5","HXA"
"335","China Southern Airlines","CZ","CSN"
"336","Cinnamon Air","C7","CIN"
"337","Citilink Indonesia","QG","CTV"
"338","Coastal Travels","CQ","CSV"
"339","Contour Airlines","LF","VTE"
"340","Copa Airlines Colombia","P5","RPB"
"341","Corendon Airlines Europe","XR","CXI"
"342","Air Creebec","YN","CRQ"
"343","Cristalux","Z7","AUZ"
"344","Cronos Airlines","C8*","CRA"
"345","Czech Airlines","OK","CSA"
"346","Eastern Airlines","2D","EAL"
"347","EasyJet","U2","EZY"
"348","Estelar","ES","ETR"
"349","EuroAtlantic Airways","YU","MMZ"
"350","Eurowings","EW","EWG"
"351","Fastjet","FN","FTZ"
"352","Fastjet Zimbabwe","FN","FJW"
"353","Fiji Airways","FJ","FJI"
"354","Finnair","AY","FIN"
"355","First Air","7F","FAB"
"356","FITS Aviation","8D","EXV"
"357","Flexflight","W2","FXT"
"358","Freebird Airlines","FH","FHY"
"359","Global Jet Luxembourg",NA,"SVW"
"360","Golden Myanmar Airlines","Y5","GMR"
"361","Air Greenland","GL","GRL"
"362","Hainan Airlines","HU","CHH"
"363","Air Hamburg",NA,"AHO"
"364","Hebei Airlines","NS","HBH"
"365","Heli Securite","HS","HLI"
"366","Hong Kong Express Airways","UO","HKE"
"367","Hunnu Air","MR","MML"
"368","Iberia Express","I2","IBS"
"369","Iberia","IB","IBE"
"370","InterCaribbean Airways","JY","IWY"
"371","Air Inuit","3H","AIE"
"372","Jetflite",NA,"JEF"
"373","Kelowna Flightcraft Air","FK","KFA"
"374","KLM Royal Dutch Airlines","KL","KLM"
"375","Air Koryo","JS","KOR"
"376","London Executive Aviation",NA,"LNX"
"377","Loong Airlines","GJ","CDC"
"378","Lynden Air Cargo","L2","LYC"
"379","Mahogany Air","KT","HOG"
"380","Mandarin Airlines","AE","MDA"
"381","MNG Airlines","MB","MNB"
"382","Mokulele Airlines","MW","MHO"
"383","Myanmar National Airlines","UB*","UBA"
"384","Northern Air Cargo","NC*","NAC"
"385","Norwegian Air Sweden","LE","NSW"
"386","Oman Air","WY","OMA"
"387","PAL Airlines","PB","PVL"
"388","Peach","MM","APJ"
"389","Poste Air Cargo","M4","MSA"
"390","Proflight Commuter Services","P0","PFZ"
"391","RAM Express",NA,"RXP"
"392","Regional Air Services","8N","REG"
"393","Royal Brunei Airlines","BI","RBA"
"394","Royalair Philippines","RW","RYL"
"395","S7 Airlines","S7","SBI"
"396","Safarilink Aviation","F2*","XLK"
"397","SaudiGulf Airlines","6S","SGQ"
"398","Severstal","D2*","SSF"
"399","Shandong Airlines","SC","CDG"
"400","Shanghai Airlines","FM","CSH"
"401","Shenzhen Airlines","ZH","CSZ"
"402","Sichuan Airlines","3U","CSC"
"403","Silk Way","ZP*","AZQ"
"404","Sky Airline","H2","SKU"
"405","Grupo Corporativo Skyway","LC","GCS"
"406","Smartwings","QS","TVS"
"407","Somon Air","SZ","SMR"
"408","Southwest Airlines","WN","SWA"
"409","SprintAir","P8","SRN"
"410","Suparna Airlines","Y8","YZR"
"411","Swoop","WO","WSW"
"412","Syrian Arab Airlines","RB","SYR"
"413","TAP Express","NI","PGA"
"414","Tayaran Jet","E8","TJB"
"415","Thai Vietjet Air","VZ","TVJ"
"416","Tianjin Airlines","GS","GCR"
"417","Air Tindi","8T*","TIN"
"418","Air Transat","TS","TSC"
"419","Tropic Air","9N","TOS"
"420","Tunisair","TU","TAR"
"421","Turkmenistan Airlines","T5","TUA"
"422","Tus Airways","U8","CYF"
"423","Twin Jet","T7","TJT"
"424","Wideroe's","WF","WIF"
"425","Private Wings Flugcharter","8W*","PWF"
"426","Air X Charter","AX*","AXY"
"427","Air Zimbabwe","UM","AZW"
"428","Pacific Airlines","BL","PIC"
"429","748 Air Services","H4*","IHO"
"430","Advanced Air","AN","WSN"
"431","Aerolinea Del Caribe - Peru","EF","CPR"
"432","Aerolink Uganda","A8*","XAU"
"433","Aerouneas Ejecutivas",NA,"LET"
"434","Almasria Universal Airlines","UJ","LMU"
"435","Alsie Express","6I","MMD"
"436","Andes Lineas Aereas","OY","ANS"
"437","Armenia","RM","NGT"
"438","Astral Aviation Ltd.","8V*","ACP"
"439","Auric Air","UI*","AUK"
"440","Austral Lineas Aereas","AU","AUT"
"441","Bakhtar Afghan Airlines","BM","BFO"
"442","Belgian Air Force",NA,"BAF"
"443","Brussels Airlines","SN","BEL"
"444","Buffalo Airways","J4","BFL"
"445","C.A.L Cargo Airlines","5C","ICL"
"446","Air Cairo","SM","MSC"
"447","Calafia Airlines","A7","CFV"
"448","Carpatair","V3","KRP"
"449","Cebgo","DG","SRQ"
"450","Air Changan","9H","CGN"
"451","Comair","MN","CAW"
"452","Air Cote D Ivoire","HF","VRE"
"453","Cougar Helicopters",NA,"CHI"
"454","Ethiopian Mozambique Airlines","ZU","EMZ"
"455","Euroairlines","Q4","ELE"
"456","Express Air Cargo","7A","XRC"
"457","Far Eastern Air Transport","FE","FEA"
"458","FedEx","FX","FDX"
"459","Felix Airways","FO","FXX"
"460","Fly AllWays","8W","EDR"
"461","Fly2Sky",NA,"VAW"
"462","Freight Runners Express",NA,"FRG"
"463","French Bee","BF","FBU"
"464","Fuzhou Airlines","FU","FZA"
"465","Air Guilin","GT","CGH"
"466","Gulf Air","GF","GFA"
"467","GX Airlines","GX","CBG"
"468","Hong Kong Airlines","HX","CRK"
"469","HOP!","A5","HOP"
"470","Hydro-Quebec","0Q*","HYD"
"471","Ibex Airlines","FW","IBX"
"472","IndiGo","6E*","IGO"
"473","Interjet","4O*","AIJ"
"474","Japan Transocean Air","NU","JTA"
"475","JetSMART","JA","JAT"
"476","Juneyao Airlines","HO","DKH"
"477","Kalitta Air","K4","CKS"
"478","Krasavia","K9*","SSJ"
"479","Kunming Airlines","KY","KNA"
"480","LATAM Cargo Colombia","L7","LAE"
"481","Longtail Aviation","6T","LGT"
"482","Lucky Air","8L*","LKE"
"483","Mann Yadanarpon Airlines","7Y","MYP"
"484","Martinair Holland","MP","MPH"
"485","Maswings","MY","MWG"
"486","Mauritania Airlines","L6","MAI"
"487","MHS Aviation","M2","MHV"
"488","Air Moldova","9U","MLD"
"489","The Mount Cook Airline","NM","NZM"
"490","MyWay Airlines","MJ","MYW"
"491","National Airlines","N8","NCR"
"492","Norlandair",NA,"FNA"
"493","North-Wright Airways","HW","NWL"
"494","Okay Airways","BK","OKA"
"495","Oriental Air Bridge","OC","ORC"
"496","Air Panama","7P","PST"
"497","PassionAir","OP","DIG"
"498","Pegas Fly","EO","KAR"
"499","Perimeter Aviation",NA,"PAG"
"500","Petroleum Air Services","UF","PER"
"501","Privilege Style","P6","PVG"
"502","Raya Airways","TH","RMY"
"503","Regent Airways","RX","RGE"
"504","Reliant Air Charter","L0","RLI"
"505","Ruili Airlines","DR","RLH"
"506","Ryanair","FR","RYR"
"507","SalamAir","OV","OMS"
"508","SAS","SK","SAS"
"509","Scoot","TR","TGW"
"510","Air Seoul","RS","ASV"
"511","Serene Air","ER","SEP"
"512","Silk Way West Airlines","7L*","AZG"
"513","Simrik Airlines",NA,"RMK"
"514","Smart Aviation Company","M4*","SME"
"515","Smartwings Hungary","7O","TVL"
"516","Smartwings Poland","3Z","TVP"
"517","Solaseed Air","6J","SNJ"
"518","Solinair","SP*","SOP"
"519","Southern Air","9S*","SOO"
"520","Spirit Airlines","NK","NKS"
"521","Spring Airlines","9C","CQH"
"522","Sriwijaya Air","SJ","SJY"
"523","Star Flyer","7G*","SFJ"
"524","Stobart Air","RE","STK"
"525","Sun Country Airlines","SY","SCX"
"526","Sunrise Airways","S6","KSZ"
"527","Swiftair","WT*","SWT"
"528","T'Way Airline","TW","TWB"
"529","TACA","TA","TAI"
"530","Tassili Airlines","SF","DTH"
"531","Trade Air","C3","TDR"
"532","Transportes Aereos Bolivianos (TAB)","2L*","BOL"
"533","Trigana Air Service","IL","TGN"
"534","TUIFly","X3*","TUI"
"535","Tunisair Express","UG","TUX"
"536","Turpial Airlines","T9","VTU"
"537","Urumqi Airlines","UQ","CUH"
"538","UVT Aero","RT","UVT"
"539","Volaris","Y4*","VOI"
"540","Volga-Dnepr","VI*","VDA"
"541","Western Aircraft","ST*","STT"
"542","White Airways","WI","WHT"
"543","Yamal Airlines","YC","LLM"
"544","KLM Cityhopper","WA","KLC"
"545","Amaszonas","Z8*","AZN"
"546","Lufttransport","L5*","LTR"
"547","Aercaribe","JK","ACL"
"548","Airjetsul Private Jets",NA,"AJU"
"549","AirSWIFT","T6","ATX"
"550","Airwing AS",NA,"NWG"
"551","Alliance Air","9I","LLR"
"552","Aloha Air Cargo","KH","AAH"
"553","Amelia","8R","AIA"
"554","APG Airlines","GP","RIV"
"555","Astonjet","6O","ASJ"
"556","Air Atlanta Icelandic","CC","ABD"
"557","ATRAN-Aviatrans Cargo Airlines","V8","VAS"
"558","Avanti Air",NA,"ATV"
"559","Bemidji Airlines","CH","BMJ"
"560","Berjaya Air","J8","BVT"
"561","Bristow US","L9*","BTZ"
"562","Air Burkina","2J","VBW"
"563","Air Busan","BX","ABL"
"564","Air Canada Rouge","RV","ROU"
"565","Cargojet Airways","W8","CJT"
"566","Cargologicair","P3*","CLU"
"567","Cayman Airways","KX","CAY"
"568","China Cargo Airlines","CK","CKK"
"569","China Postal Airlines","CF","CYZ"
"570","China United Airlines","KN","CUA"
"571","La Compagnie","B0","DJT"
"572","Daallo Airlines","D3","DAO"
"573","Delta Private Jets",NA,"DPJ"
"574","Desert Jet",NA,"DJR"
"575","Dniproavia","Z6","UDN"
"576","Air Do","HD","ADO"
"577","Donghai Airlines","DZ","EPA"
"578","Dumont Aviation",NA,"SDU"
"579","East African Safari Air Express","B5","EXZ"
"580","Easyjet Switzerland","DS","EZS"
"581","Eleron","WD*","VVA"
"582","Elite Airways","7Q","MNU"
"583","Everts Air","5V","VTS"
"584","Express Airways",NA,"EPR"
"585","Federal Airlines","7V","FDR"
"586","Flexjet",NA,"LXJ"
