"","name","iata_code","icao_code"
"1677","TurboJet","8S*",NA
"1678","Twinjet Aircraft Sales",NA,"TWJ"
"1679","Ukraine-Airalliance",NA,"UKL"
"1680","UM Air Airlines","UF","UKM"
"1681","Uni-Top Airlines","UW","UTP"
"1682","US Immigration And Custom Enforcement",NA,"RPN"
"1683","Valair AG",NA,"RDW"
"1684","Valair",NA,"VHS"
"1685","Varesh Air Lines",NA,"VRH"
"1686","Volo Aviation",NA,"PGN"
"1687","VVB Aviation Charter Services",NA,"VVB"
"1688","West African Airlines","WH*","WSF"
"1689","Western Air",NA,"WST"
"1690","Wings Of Lebanon","W7*","WLB"
"1691","Working On Fire",NA,"WOF"
"1692","World Cargo Airlines","3G*","CXM"
"1693","Worldspan","1G",NA
"1694","Wright Air","8V","WRT"
"1695","AIR X Executive Jets",NA,"EYC"
"1696","Xjet",NA,"XJT"
"1697","Air Zermatt",NA,"AZF"
"1698","Zipair Tokyo","ZG","TZP"
"1699","Vision Air International",NA,"VIS"
"1700","Croix Rouge Francais",NA,"CRF"
"1701","A2B Heli Charters",NA,"LHC"
"1702","AccesRail And Partner Railways","9B*",NA
"1703","Aerbrava",NA,"EBV"
"1704","Aerobell Airlines",NA,"GAB"
"1705","Aerocon","A4","AEK"
"1706","Aerodynamics Malaga",NA,"DNC"
"1707","Aerofan",NA,"CFF"
"1708","Aeroflota Del Noroeste",NA,"FNO"
"1709","Aerolineas MAS","N3","MAF"
"1710","Aerolineas Sosa","P4*","NSO"
"1711","Aeromas",NA,"MSM"
"1712","Aerosim Academy",NA,"LFA"
"1713","Africa Charter Airlines",NA,"FSK"
"1714","Aigle Azur","ZI","AAF"
"1715","AirBahn",NA,"ARB"
"1716","Airbus Industrie",NA,"AIB"
"1717","Aircraft Management Group",NA,"RVJ"
"1718","Aircraft Sales And Services (Pvt) Ltd",NA,"ACS"
"1719","AirGlow Aviation Services","GL*",NA
"1720","Airlec Air Espace",NA,"ARL"
"1721","Airnor",NA,"ENW"
"1722","Airport Bratsk",NA,"BRP"
"1723","Airquest Aviation",NA,"RQT"
"1724","AirTran","FL","TRS"
"1725","Airways Flygutbildning AB",NA,"ATO"
"1726","Al-Haya Aviation","HA*","HYA"
"1727","Alas Uruguay","YZ*","ALY"
"1728","Alaska Air Transit","JN",NA
"1729","Air Albania","ZB","ABN"
"1730","Air Alliance","ZX","GGN"
"1731","Alpine Airlines",NA,"APN"
"1732","Amjet Executive",NA,"AMJ"
"1733","Anguilla Air Services","Q3","AXL"
"1734","Anisec",NA,"FOO"
"1735","Aravco",NA,"ARV"
"1736","Asia Atlantic Airlines","HB*","AAQ"
"1737","Asia Pacific Airlines","P9*","MGE"
"1738","Asian Air","DM*","DEX"
"1739","Askari Aviation","4K*","AAS"
"1740","Atlantis European Airways","TD","LUR"
"1741","Atlas Executive Air",NA,"LSX"
"1742","Atlasglobal","KK","KKK"
"1743","Aura Airlines",NA,"GWR"
"1744","Australian Maritime Safety Authority (AMSA)",NA,"RES"
"1745","Avanza Group","6V",NA
"1746","Avcon Jet Africa",NA,"AJJ"
"1747","Avcon Jet",NA,"AOJ"
"1748","Avcon Jet Malta",NA,"VCJ"
"1749","Avioandes",NA,"AYH"
"1750","Avior Regional",NA,"RGR"
"1751","Bel Air Helicopters ApS",NA,"BEH"
"1752","Bluelinks Jets",NA,"BLJ"
"1753","Bluesky Airways",NA,"BKY"
"1754","Border Air Training",NA,"BFT"
"1755","Breeze Airways",NA,"MXY"
"1756","Bringer Air Cargo Taxi Aereo","E6*","BCT"
"1757","Brixtel Group",NA,"BXJ"
"1758","Air Burundi","8Y","PBU"
"1759","Business Wings",NA,"JMP"
"1760","Canavia",NA,"CNA"
"1761","Capital Airlines",NA,"CPD"
"1762","Air Caraibes Atlantique",NA,"CAJ"
"1763","Carson Air",NA,"CRN"
"1764","Cascadia Airways",NA,"CBF"
"1765","Castle Aviation",NA,"CSJ"
"1766","CEGA Aviation",NA,"CEG"
"1767","Chautauqua Airlines","RP","CHQ"
"1768","Cherokee Air",NA,"FSS"
"1769","CIAF Leasing","CF*","CIL"
"1770","Cityline Hungary","ZM*","CNB"
"1771","Cobham Aviation Services Australia",NA,"NJS"
"1772","Comfort Air",NA,"FYN"
"1773","Comlux KZ",NA,"KAZ"
"1774","Comlux San Marino",NA,"SMC"
"1775","Comores Aviation International","O5","KMZ"
"1776","Compagnie Africaine D'Aviation","BU",NA
"1777","Compass Airlines","CP","CPZ"
"1778","Corporate Air",NA,"CPT"
"1779","Corporate Eagle Management Services",NA,"CBH"
"1780","Corporate Air Travel",NA,"MVP"
"1781","CSI Aviation",NA,"CSI"
"1782","Diamond Flight Academy Scandinavia",NA,"DMN"
"1783","Diamond Sky",NA,"DMS"
"1784","Domodedovo Airport Handling",NA,"DPH"
"1785","DragonFly Executive Air Charter",NA,"CBM"
"1786","Air Dream College",NA,"ADM"
"1787","DXC Technology Services","1Y",NA
"1788","East Horizon Airlines","EA*","EHN"
"1789","East Midlands Helicopters",NA,"CTK"
"1790","Emperor Aviation",NA,"EMM"
"1791","Empire Test Pilots School",NA,"ETP"
"1792","Enerjet","EG*","DAT"
"1793","Epic Flight Academy/Epic Aviation",NA,"EPI"
"1794","Etihad Flight College",NA,"YET"
"1795","Air Excel",NA,"XLL"
"1796","Executive Jet Management",NA,"EJM"
"1797","Aero Expedition",NA,"GEX"
"1798","FCG - Flight Consulting Group",NA,"FCG"
"1799","FDS-Ops",NA,"FDP"
"1800","Finist'air",NA,"FTR"
"1801","FinnHems",NA,"FIH"
"1802","Flugschule Basel",NA,"FLU"
"1803","Fly Africa Zimbabwe","Z7*","FZW"
"1804","Fly Bai",NA,"FBY"
"1805","Fly Play",NA,"FPY"
"1806","Flydamas","4J*","FDK"
"1807","FlyMex",NA,"NTG"
"1808","FlyMontserrat","5M","MNT"
"1809","Freedom Air",NA,"FDJ"
"1810","Air Freight NZ Cargo","OG","TFR"
"1811","Frontier Flying Service","2F","FTA"
"1812","G-Jet",NA,"GSJ"
"1813","Garmin",NA,"GMN"
"1814","Genesis Global Aviation",NA,"GGG"
"1815","Gesellschaft Fur Flugzieldarstellung",NA,"GFD"
"1816","Global Africa Cargo","Z5","GAA"
"1817","Global SuperTanker Services",NA,"GST"
"1818","Great Lakes Airlines","ZK","GLA"
"1819","Griffon Aviation (Cyprus)",NA,"GFF"
"1820","Grossman Air Serivce",NA,"HTG"
"1821","Harbour Air","YB",NA
"1822","De Havilland Aircraft Of Canada",NA,"DHC"
"1823","Hawker Beechcraft",NA,"HKB"
"1824","Hawker Beechcraft",NA,"RCJ"
"1825","Hebridean Air Services",NA,"HBR"
"1826","Heli Ambulance Team",NA,"ALJ"
"1827","Heli-holland",NA,"HHE"
"1828","Heli Service International",NA,"HSO"
"1829","Helibravo Aviacao",NA,"HIB"
"1830","Helicentre Coventry",NA,"COV"
"1831","Helipistas",NA,"HLP"
"1832","Helistar",NA,"HSR"
"1833","Hibernian Airlines","HG*","HBN"
"1834","Hummingbird Aviation Services",NA,"ETI"
"1835","Hyperion Aviation",NA,"HYP"
"1836","IAS Itzehoer Airservice",NA,"FNK"
"1837","Ibertrans Aerea",NA,"IBT"
"1838","Ibex-U.L.",NA,"KBX"
"1839","IFL Group",NA,"IFL"
"1840","Indonesia AirAsia X","XT*","IDX"
"1841","Inter Air Lines","D6","ILN"
"1842","Interjet",NA,"INJ"
"1843","InterJet West","K8*","IJW"
"1844","Jet Airways (India)","9W","JAI"
"1845","Jet Exchange",NA,"XCH"
"1846","Jet Link Express","J0","JLX"
"1847","Jet Ops","J6*","OPS"
"1848","Jetfly Airlines",NA,"JFL"
"1849","JetLite","S2","JLL"
"1850","Jetstar Hong Kong Airways",NA,"JKT"
"1851","Jetsuite Air",NA,"RSP"
"1852","JK Jetkontor",NA,"JKH"
"1853","Kabo Air","N9","QNK"
"1854","Kamaka Air",NA,"KMK"
"1855","KAP.kg","AB*","KGS"
"1856","Kapajet",NA,"KJE"
"1857","Kargo Xpress","WW*","KXP"
"1858","KC International Airlines","3Q*","KCH"
"1859","Keystone Air Service","BZ","KEE"
"1860","Korea Express Air","KW","KEA"
"1861","L A Helicopter",NA,"LAH"
"1862","Lahak Aviation",NA,"LHK"
"1863","Lasare Airline",NA,"LRE"
"1864","Legacy Air","L4*","LGC"
"1865","Lego",NA,"LGE"
"1866","Let J.S.C.",NA,"LEK"
"1867","Air Liaison","DU","LIZ"
"1868","LIFT Academy",NA,"LTA"
"1869","Lockheed Martin Aeronautics",NA,"CBD"
"1870","Lomas Helicopters",NA,"LMS"
"1871","Air Lubo / ALK Airlines",NA,"VBB"
"1872","Luxaviation Malta",NA,"LXM"
"1873","M & N Aviation","MJ*","JNH"
"1874","Magna Air",NA,"MGR"
"1875","Air Malawi","QM","AML"
"1876","Mali Air Luftverkehr Gesellschaft",NA,"MAE"
"1877","Air Manas",NA,"MBB"
"1878","Maritime Helicopters",NA,"MHF"
"1879","Marshall Of Cambridge",NA,"MCE"
"1880","Martinaire",NA,"MRA"
"1881","McMahon Helicopter Services",NA,"MMH"
"1882","Memorial Hermann Hospital System Life Flight",NA,"RDK"
"1883","Meridian Ltd",NA,"MEM"
"1884","Miami Air Lease","MG*","MGD"
"1885","Michelin Air Services","IM","BIB"
"1886","Mozambique Expresso",NA,"MXE"
"1887","Mustique Airways",NA,"MAW"
"1888","My Jet Saver",NA,"MJS"
"1889","Nanshan Jet",NA,"NSJ"
"1890","Nantucket Airlines",NA,"ACK"
"1891","National Grid Co.",NA,"GRD"
"1892","National Air Charters","JY*","NTK"
"1893","National Air Traffic Services",NA,"RFI"
"1894","NATO",NA,"OAN"
"1895","Nav Flight Planning",NA,"NAV"
"1896","Netjets Business Aviation",NA,"NEJ"
"1897","Network Aviation Australia",NA,"NWK"
"1898","Niger Airways","NJ*","NWA"
"1899","Nordurflug",NA,"EHR"
"1900","North-Western Cargo International Airlines","CO","CNW"
"1901","Northern Thunderbird Air",NA,"NTA"
"1902","Norwegian Air Norway AS","DH*","NAN"
"1903","NOVAIR","NG","NAI"
"1904","Nyxair",NA,"NYX"
"1905","OAG","XD","XXD"
"1906","Old Dominion Freight LT Lines",NA,"FET"
"1907","Omega Aerial Refueling Services",NA,"OME"
"1908","Oryx Jet",NA,"OJT"
"1909","OSM Aviation Academy",NA,"SCQ"
"1910","Owenair","UD*","OWE"
"1911","Pacific Coast Jet",NA,"PXT"
"1912","Pacific Wings","LW","NMI"
"1913","Pambele Aviation",NA,"JEM"
"1914","Pambele Aviation",NA,"PMX"
"1915","Pan African Airways","5F*","ODM"
"1916","Pan Air Cargo","3J*","CTW"
"1917","Panamedia",NA,"PEI"
"1918","PanJet",NA,"PHT"
"1919","Panorama Aviation",NA,"PNO"
"1920","Par Avion Airlines",NA,"ATM"
"1921","Pegasus Helicopters",NA,"HAK"
"1922","Pel-Air Aviation",NA,"PFY"
"1923","PIVOT AIRLINES",NA,"GGN"
"1924","Pratt And Whitney Canada",NA,"PWC"
"1925","Premier Trans Aire","3X*",NA
"1926","Primera Air Scandinavia","PF","PRI"
"1927","Prinair","US","PRU"
"1928","Priority Air Charter",NA,"PRY"
"1929","Aero-Pyrenees",NA,"EAP"
"1930","Queen Bilqis Airways","QA","QBA"
"1931","Quest Diagnostics",NA,"LBQ"
"1932","RAF-HQSTC (Air Transport)",NA,"RRR"
"1933","Red Arrows Display Squadron",NA,"SAK"
"1934","Red Air","L5","REA"
"1935","Redstar Aviation",NA,"RHH"
"1936","Riga Airlines",NA,"RIG"
"1937","Rolls Royce",NA,"BTU"
"1938","Rolls Royce",NA,"RRL"
"1939","Royal Australian Air Force",NA,"ASY"
"1940","Royal Air Freight",NA,"RAX"
"1941","Rubystar",NA,"RSB"
"1942","RWL",NA,"RWL"
"1943","Ryanair Sun","RR","RYS"
"1944","Saab-Aircraft",NA,"SCT"
"1945","San Carlos Flight School",NA,"BYF"
"1946","Santa Barbara Airlines","S3","BBR"
"1947","Sapphire Aviation",NA,"SPP"
"1948","Scandinavian Airlines Ireland","SL*","SZS"
"1949","Scenic Airlines","YR","SCE"
"1950","Servicios Aereos",NA,"VWA"
"1951","Shaheen Air International","NL","SAI"
"1952","Shell Canada",NA,"SCL"
"1953","Siam Air","O8*","SQM"
"1954","Sierra Pacific Airlines","SI*","SPA"
"1955","Silk Road Cargo Business","S9*","URS"
"1956","Silver Cloud Air",NA,"SCR"
"1957","Sky Jet M.G.","DU",NA
"1958","SkyBahamas Airlines","Q7*","SBM"
"1959","Skycharter",NA,"SKL"
"1960","Skyward Aviation",NA,"UWD"
"1961","Slovak Government Flying Service",NA,"SSG"
"1962","Solar Cargo","4S*","OLC"
"1963","Solutions Air Charter",NA,"BLU"
"1964","Songbird Airways","6K","SGB"
"1965","SprintAir Cargo",NA,"SAR"
"1966","Stapleford Flight Centre",NA,"STL"
"1967","Star East Airline","4R*","SEK"
"1968","Star Wings Dortmund",NA,"STQ"
"1969","Stargate Aviation",NA,"SGT"
"1970","Starlight Airline","QA*","SLT"
"1971","Sundance Air (Venezuela)","R8*","SUV"
"1972","Sundt Air",NA,"MDT"
"1973","Superior Transportation Associates, Inc D/b/a STAjets",NA,"KFB"
"1974","Tac Airlines","5L","TIC"
"1975","TAME","EQ","TAE"
"1976","TapJets",NA,"TJA"
"1977","Tayside Aviation",NA,"TFY"
"1978","Telford Aviation",NA,"TEL"
"1979","Ten Airways","X5*","OTJ"
"1980","Tez Jet Airlines",NA,"TEZ"
"1981","Thai EastarJet","ZT","ESS"
"1982","Time Air",NA,"TIE"
"1983","TopBrass Aviation",NA,"BRL"
"1984","Air Transport Association Of America (ATA)","XD","ATA"
"1985","Transportes Aereos Petroleros / TAPSA",NA,"TPS"
"1986","Travel Management Company Ltd.",NA,"TMC"
"1987","Turkish Air Force",NA,"HVK"
"1988","Turukhan Airlines",NA,"TRH"
"1989","TWC Aviation",NA,"SCN"
"1990","U.S. Department Of Interior",NA,"JPR"
"1991","U.S. Department Of State, INL Air Wing",NA,"DOS"
"1992","UK Royal Positioning Flights",NA,"RRF"
"1993","Ukrainian Helicopters",NA,"UHL"
"1994","Ukrainian Wings",NA,"UWJ"
"1995","Uni-fly",NA,"UNC"
"1996","Unique Air","6U*","UQA"
"1997","University Of Illinois Institute Of Aviation",NA,"ILU"
"1998","Venture Aviation Group",NA,"VET"
"1999","Vibroair",NA,"VIB"
"2000","VIM Airlines","NN","MOV"
"2001","Aero Vodochody",NA,"AOD"
"2002","Voyage Air","VO","VRG"
"2003","Walya Airways",NA,"EAW"
"2004","Watermakers Air",NA,"WMA"
"2005","Aero Ways",NA,"TKK"
"2006","Welch Aviation",NA,"TDB"
"2007","Westair Industries",NA,"PCM"
"2008","Western Michigan University College Of Aviation",NA,"WMU"
"2009","Wiking Helikopter Service",NA,"WHS"
"2010","Williams Grand Prix Engineering",NA,"WGP"
"2011","Wizz Air","5W","WAZ"
"2012","World Airways","WO","WOA"
"2013","World2fly",NA,"WFL"
"2014","WOW Air","WW*","WOW"
"2015","Xcel Jet",NA,"XLJ"
"2016","XL Airways France","SE","XLF"
"2017","Xstrata Nickel",NA,"RAG"
"2018","Yuzmashavia",NA,"UMK"
"2019","Zhez Air",NA,"KZH"
"2020","Trans Maldivian Airways",NA,"TMW"
"2021","HeliAviation",NA,"CDY"
"2022","2 Excel Aviation",NA,"BRO"
"2023","Hangar 8 Ltd.",NA,"HGR"
"2024","Mountain Flyers 80",NA,"MFB"
"2025","9G Rail","9G*",NA
"2026","A2V",NA,"HKR"
"2027","Aeroaljarafe",NA,"AJH"
"2028","Aerocaribe Airlines",NA,"CVZ"
"2029","Aerofaq",NA,"FAQ"
"2030","Aerojet Airlines",NA,"BJU"
"2031","Aerolineas Sosa","S0","NSO"
"2032","Aeropartner",NA,"DFC"
"2033","Aserca Airlines","R7","OCA"
"2034","Airbus Transport International","4Y*","BGA"
"2035","Airteam Charter",NA,"TEW"
"2036","Al-Naser Airlines","6N","MHK"
"2037","Al-Rafedain Falcon Air Cargo",NA,"RFA"
"2038","Alanna",NA,"ALQ"
"2039","Albinati Aeronautics",NA,"LUC"
"2040","Albinati Aviation",NA,"ULC"
"2041","Alfa Airlines",NA,"AAJ"
"2042","Aliparma",NA,"PAJ"
"2043","Alliance Airlines","3A",NA
"2044","ALTENRHEIN LUFTFAHRT GMBH",NA,"PEV"
"2045","Air Ambulance Malta",NA,"ELP"
"2046","Amiyi Airline","9K*","AMZ"
"2047","AmSafe Bridport","7K*",NA
"2048","Anglo American South Africa",NA,"AJZ"
"2049","Arena Aviation",NA,"REN"
"2050","Air Armenia","QN*","ARR"
"2051","Arrow Aviation",NA,"HEZ"
"2052","Astar Air Cargo","ER","DHL"
"2053","Atlanta Air Charter",NA,"CTE"
"2054","Atlantic Helicopters",NA,"FAC"
"2055","Atlantis-Air Link","EA*",NA
"2056","AtlasGlobal UA",NA,"UJX"
"2057","Air Aurora",NA,"AAI"
"2058","Aviation Advisor",NA,"LKF"
"2059","Aviator","T9*","AVV"
"2060","Aviatsa",NA,"LEM"
"2061","Avio Delta",NA,"ADZ"
"2062","B.A.C.H.",NA,"BCF"
"2063","B&K Aero KZ",NA,"BBK"
"2064","Babcock Mission Critical Services Offshore",NA,"BND"
"2065","Babcock Mission Critical Services Onshore",NA,"RHD"
"2066","Backbone Aviation",NA,"BOB"
"2067","BalmOral",NA,"BAL"
"2068","Baltic Airlines",NA,"BLL"
"2069","Baltijas Helicopters",NA,"BTH"
"2070","Bartolini Air Regional",NA,"BNI"
"2071","Beijing Airlines",NA,"BJN"
"2072","BellAvia",NA,"BEV"
"2073","Benair",NA,"BEI"
"2074","Bioflight",NA,"BIO"
"2075","Blink",NA,"BKK"
"2076","Blue1",NA,"BLF"
"2077","Bookajet",NA,"BOO"
"2078","Branson Air Express","1X",NA
"2079","Briko Air Service",NA,"BKO"
"2080","Air Bucharest",NA,"BUR"
"2081","Cairo Aviation","OE","CCE"
"2082","Canada - Transport Canada",NA,"TGO"
"2083","Canadian Pacific Railway",NA,"CRR"
"2084","Canair",NA,"RSC"
"2085","Canlink Aviation",NA,"MFC"
"2086","CanWest Air",NA,"CWA"
"2087","Air Cargo Global","CW*","CCC"
"2088","Air Cargo Mongolia","M5*","MGC"
"2089","Air Carnival","2S","ACV"
"2090","Cavok Air",NA,"CVK"
"2091","Centurion Cargo","WE","CWC"
"2092","Challenge Air",NA,"CHG"
"2093","Air Charity Network",NA,"NGF"
"2094","CHC Global Operations International",NA,"GCY"
"2095","CHC Helicopters Canada",NA,"RBD"
"2096","CHC Helicopters",NA,"HEM"
"2097","CHC Helicopters Netherlands",NA,"HNL"
"2098","Chrono Jet",NA,"MBK"
"2099","Chu Kong Passanger Transport","3A*",NA
"2100","Cimber","QA","CIM"
"2101","Classic Jet",NA,"LLT"
"2102","Clay Lacy Aviation",NA,"CLY"
"2103","Clipper Jet",NA,"ORO"
"2104","Aero Club De Castellon",NA,"RRB"
"2105","Aero Club De Portugal",NA,"CLP"
"2106","CM Airlines","CC*","OMT"
"2107","Cobham Flight Inspection",NA,"CLB"
"2108","Compagnia Generale Ripreseaeree",NA,"CGR"
"2109","Conquest Air","C4","QAI"
"2110","Cooper Aerial Surveys",NA,"SVY"
"2111","D & D Aviaion",NA,"DDA"
"2112","Daallo Airlines (Somalia)","D9","DMQ"
"2113","DC Aviation Al-Futtaim",NA,"DCF"
"2114","Derazona Air Service",NA,"DRZ"
"2115","Dream Flyers Training Center",NA,"DRF"
"2116","Eagle Aviaton Services",NA,"ABU"
"2117","Eagle European",NA,"EEL"
"2118","Eaglexpress Air","9A*","EZX"
"2119","East Coast Jets",NA,"ECJ"
"2120","Eastern Skyjets",NA,"ESJ"
"2121","Embry-Riddle Aeronautical University",NA,"ERU"
"2122","Empresa Brasileira De Aeronautica",NA,"EMB"
"2123","Encompass Aviation",NA,"ROM"
"2124","Esercito Italiano/Italian Army",NA,"IEI"
"2125","Air Et Compagnie",NA,"BLT"
"2126","Evolem Aviation",NA,"EVL"
"2127","Executive Airlink",NA,"ENK"
"2128","Executive Fliteways",NA,"XFL"
"2129","Executive Air Services",NA,"BLE"
"2130","Exin",NA,"EXN"
"2131","Fair Wind Air Charter",NA,"FWD"
"2132","Fanjet Express",NA,"FJE"
"2133","FFH Sudwestdeutsche Verkehrsfliegerschule",NA,"HRE"
"2134","Fireblade Aviation",NA,"OPM"
"2135","Flight Centre Victoria",NA,"FCV"
"2136","Flight Line",NA,"ACT"
"2137","Flight Pro International",NA,"FPC"
"2138","Flightlink",NA,"FLZ"
"2139","Flightworks",NA,"KDZ"
"2140","Florida Air Cargo",NA,"FAS"
"2141","Florida Flyers Flight Academy",NA,"FFY"
"2142","Fly Blue Crane",NA,"FBC"
"2143","Fly Jet.kz",NA,"FJK"
"2144","Fly Wales",NA,"PYN"
"2145","Flyest Lineas Aereas",NA,"OLS"
"2146","FlyGTA","SX","TOR"
"2147","Flyways",NA,"FYW"
"2148","FMI Air","ND*","FMI"
"2149","Freebird Airlines Europe",NA,"FHM"
"2150","Fresh Air Aviation",NA,"BZY"
"2151","Gama Aviation (Beauport) Ltd",NA,"AVB"
"2152","Gambia Bird",NA,"GBQ"
"2153","German Army",NA,"GAM"
"2154","Globus","GH","GLP"
"2155","Glory Airline",NA,"GAR"
"2156","Gouvernement Du Quebec, Service Aerien Gouvernemental",NA,"QUE"
"2157","Gran Colombia De Aviacion","9A",NA
"2158","Green Africa Airways","Q9",NA
"2159","Guardian Air Asset Management",NA,"GRA"
"2160","Gulf Coast Aviation",NA,"GCT"
"2161","GullivAir","G2","TJJ"
"2162","Hahn Air Systems","H1",NA
"2163","Hahn Air","X1",NA
"2164","Happy Air Travellers",NA,"HPY"
"2165","Heli Holland Offshore",NA,"FNI"
"2166","Heli Air Services",NA,"HLR"
"2167","Heli-Team",NA,"RDL"
"2168","Helicopterflights",NA,"HCF"
"2169","Helicopteros Personales",NA,"BLM"
"2170","Hop-A-Jet",NA,"HPJ"
"2171","IAMC",NA,"IMC"
"2172","IASCO Flight Training",NA,"MMY"
"2173","Ibex Air Charter",NA,"IBC"
"2174","Image Air Charter",NA,"BMG"
"2175","Industrias Titan",NA,"ITN"
"2176","InselAir Aruba","8I","NLU"
"2177","InteliSys Aviation Systems","1Q",NA
"2178","International Jet Aviation Services",NA,"IJA"
"2179","Island Helicopters",NA,"MTP"
"2180","Ivoirienne De Transports Aeriens","I3","IVN"
"2181","Jet Airways","QJ",NA
"2182","Jet Charter",NA,"JCT"
"2183","Jet Concierge Club",NA,"JCO"
"2184","Jet Connect",NA,"QNZ"
"2185","Jet-Stream",NA,"JSH"
"2186","Jet Time","JG","JTG"
"2187","Jet Time",NA,"JTF"
"2188","Jet Up Aviation","JU*",NA
"2189","JetAir Caribbean","4J","JRC"
"2190","JetGo Australia","JG*","JGO"
"2191","Jetlines",NA,"CJL"
"2192","Jivair",NA,"JIV"
"2193","Kaz Air Jet",NA,"KEJ"
"2194","Kermas Aviation",NA,"KER"
"2195","Kolob Canyons Air Services",NA,"KCR"
"2196","Kyungwoon University",NA,"WCD"
"2197","The Landline Company","L4",NA
"2198","Lauda Europe","LW","LDA"
"2199","Leuchars",NA,"LCS"
"2200","LGW","HE","LGW"
"2201","LINEA AEREA NACIONAL DE CHILE (LAN)",NA,"LAN"
"2202","Linksair",NA,"LNQ"
"2203","Lockheed Martin",NA,"LHM"
"2204","Lone Star Communications",NA,"LSO"
"2205","LTA",NA,"TUY"
"2206","Lufthansa Systems","S1",NA
"2207","Mahfooz Aviation","M2","MZS"
"2208","Makani Kai Air",NA,"KDS"
"2209","Air Mandalay","6T","AMY"
"2210","Maroomba Airlines","KN*",NA
"2211","Massy Airlines","9M*","MIH"
"2212","Megido Aviation",NA,"MGV"
"2213","MGH Global Airlines",NA,"MGH"
"2214","Mid-Pacific Jets",NA,"FGR"
"2215","Air Moorea",NA,"TAH"
"2216","Air National Guard",NA,"BTB"
"2217","National Jets",NA,"EGS"
"2218","National Oceanic And Atmospheric Administration",NA,"NOA"
"2219","Air Net Private Charter",NA,"WDR"
"2220","New York State Police",NA,"GRY"
"2221","NewGen Airways",NA,"VGO"
"2222","Ningxia Cargo Airlines","HT*","HTK"
"2223","North Carolina Forest Service",NA,"FTK"
"2224","Northern Air Charter",NA,"NLI"
"2225","OCL Barbados",NA,"OCL"
"2226","Omni - Aviacao E Tecnologia",NA,"OAV"
"2227","One Air",NA,"OAR"
"2228","ONE Airlines",NA,"ONS"
"2229","Orange Air","O3*","ORN"
"2230","Orange2fly",NA,"OTF"
"2231","OTT Airlines",NA,"OTT"
"2232","Oya International Airline",NA,"OYA"
"2233","A.P.G. Distribution System","A1",NA
"2234","Pacific Airways","3F",NA
"2235","PADAVIATION",NA,"PVD"
"2236","Pan American Airways","PN*","PAA"
"2237","Pan Europeenne Air Service",NA,"PEA"
"2238","Pantanal Linhas Aereas","GP","PTN"
"2239","Paragon Airways",NA,"PFT"
"2240","Air Peace Hopper",NA,"APL"
"2241","Phenix Aviation",NA,"PHV"
"2242","Air Philip","3P*","APV"
"2243","Pilbara Airlines",NA,"PBA"
"2244","Pilot Flyskole",NA,"PIP"
"2245","Planemaster Services",NA,"PMS"
"2246","PLM Dollar Group",NA,"PDG"
"2247","Polizeihubschrauberstaffel Baden-Wurttemberg",NA,"PBW"
"2248","Air Premia","YP","APZ"
"2249","Promech","Z3*",NA
"2250","Province Of Manitoba, Air Services Branch",NA,"MBT"
"2251","Pskov State Aviation Enterprise",NA,"PSW"
"2252","Puer General Aviation","R8","GUC"
"2253","Quality Fly",NA,"QFY"
"2254","Queen Air",NA,"QNR"
"2255","Rada Airlines",NA,"RDA"
"2256","Rainbow Airlines",NA,"RAT"
"2257","Raven Air Ltd.",NA,"RVR"
"2258","Rayani Air",NA,"RKT"
"2259","Real Aero Club De Vizcaya",NA,"VCB"
"2260","Redding Aero Enterprises",NA,"BXR"
"2261","Regency Air",NA,"RGY"
"2262","Richland Aviation",NA,"RCA"
"2263","RMC Group Services",NA,"RMC"
"2264","SAF Helicopteres",NA,"SHP"
"2265","Safat Airlines",NA,"IRV"
"2266","SALSA D Haiti",NA,"SLC"
"2267","SalzburgJetAviation",NA,"MOZ"
"2268","ScanBlu Airlines",NA,"CBU"
"2269","Scanwings",NA,"ABF"
"2270","Air Service Center",NA,"RCX"
"2271","Servicios Aereos Across",NA,"ACW"
"2272","SiAvia",NA,"SVB"
"2273","Sierra Charlie Aviation",NA,"SCA"
"2274","Sixt Rent A Car",NA,"SIX"
"2275","Skargardshavets Helikoptertjanst",NA,"MHQ"
"2276","Sky Bus",NA,"HVY"
"2277","Skydrift",NA,"SDL"
"2278","Skyfirst",NA,"KFE"
"2279","Skyjet Aviation Services",NA,"LRK"
"2280","Skylink Aviation",NA,"SLL"
"2281","SkyWay Enterprises",NA,"SKZ"
"2282","Sloane Helicopters",NA,"SLN"
"2283","SNAS Aviation",NA,"RSE"
"2284","Sonair",NA,"SOR"
"2285","South Asian Airlines",NA,"BDS"
"2286","Southair",NA,"SFK"
"2287","Southern Airways","9X","FDY"
"2288","Southern Jersey Airways",NA,"ALC"
"2289","Specialist Aviation Services",NA,"PLC"
"2290","Spirit Jets",NA,"SJJ"
"2291","State Of West Virginia, Aviation Division",NA,"BKB"
"2292","Air Stork","2S*","MSB"
"2293","Sundorph Aeronautical",NA,"SDF"
"2294","SunExpress Deutschland","XG","SXD"
"2295","Superior Air",NA,"SUQ"
"2296","Svenskt Industriflyg AB",NA,"JET"
"2297","Swiss Jet",NA,"SJT"
"2298","TAB Charters",NA,"BKT"
"2299","TAG Aviation Asia",NA,"TBJ"
"2300","TAG Aviation Espana",NA,"TGM"
"2301","Tatra Jet",NA,"TTJ"
"2302","Texel Air",NA,"XLR"
